Chl-a,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A
1.99557469993683,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
1.99557469993683,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
1.99557469993683,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
1.99557469993683,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
1.99557469993683,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
1.99557469993683,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
1.99557469993683,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
1.99557469993683,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
2.22186880205443,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
2.22186880205443,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
2.22186880205443,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
2.22186880205443,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
2.22186880205443,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
2.22186880205443,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
2.22186880205443,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
2.22186880205443,0.0119500001892447,0.0104999998584389,0.0441999994218349,0.0489500015974044,0.0364000014960765,0.0266500003635883,0.0259499996900558,0.024949999526143,0.0238000005483627,0.0187999997287988
